Rank	Bar	Neighborhood	Cuisine Category	Price
1	Khyber Pass Pub			
2	South Philadelphia Taproom			
3	Standard Tap			
4	Franklin Mortgage & Investment Co.			
5	Memphis Taproom			
6	Pub on Passyunk East			
7	Good Dog Bar			
8	Varga Bar			
10	Pub & Kitchen			
11	Oscars			
12	Johnny Brendas			
13	Southwark			
14	Monks Cafe			
15	Tria Cafe			
16	Kraftwork			
17	Village Whiskey			
18	Jose Pistolas			
19	Royal Tavern			
20	Sidecar Bar & Grille			
21	Teresas Next Door			
22	Brauhaus Schmitz			
23	Bob & Barbaras			
24	Percy Street Barbecue			
25	Prohibition Taproom			
26	Grace Tavern			
27	Stogie Joes			
28	Oyster House			
29	Sampan			
30	Devils Den			
31	Grey Lodge			
32	Nodding Head			
33	Locust Rendezvous			
34	Ranstead Room			
35	Fergies			
36	Hulmeville Inn			
38	Earth Bread + Brewery			
39	Cantina Los Caballitos			
40	Fiume			
41	Frankford Hall			
42	Continental Midtown			
44	McGlincheys			
46	Institute			
47	Kennett			
48	TJs Restaurant & Drinkery			
49	12 Steps Down			
50	Silk City Diner			
